list-i-none,8,4,1,96,233286,2430
list-i-none,2,8,1,48,84649,1763
list-i-none,2,16,1,96,94432,983
list-i-none,12,16,1,576,404698,702
list-d-none,2,2,1,12,66831,5569
list-d-none,4,2,1,24,119661,4985
list-d-none,8,2,1,48,248181,5170
list-d-none,12,2,1,72,315754,4385
list-d-none,2,4,1,24,108194,4508
list-d-none,4,4,1,48,112682,2347
list-d-none,8,4,1,96,200547,2089
list-d-none,2,8,1,48,77003,1604
list-d-none,4,8,1,96,125542,1307
list-d-none,8,8,1,192,252585,1315
list-d-none,2,16,1,96,103765,1080
list-d-none,4,32,1,384,225076,586
list-il-none,2,2,1,12,136528,11377
list-il-none,4,2,1,24,138773,5782
list-il-none,8,2,1,48,317044,6605
list-il-none,12,2,1,72,464827,6455
list-il-none,2,4,1,24,111812,4658
list-il-none,8,4,1,96,233223,2429
list-il-none,2,8,1,48,143344,2986
list-il-none,4,8,1,96,164194,1710
list-il-none,2,16,1,96,235998,2458
list-il-none,8,16,1,384,623872,1624
list-il-none,12,16,1,576,1049316,1821
list-il-none,4,32,1,384,873214,2273
list-il-none,12,32,1,1152,3556504,3087
list-dl-none,2,2,1,12,107744,8978
list-dl-none,4,2,1,24,139513,5813
list-dl-none,8,2,1,48,299773,6245
list-dl-none,2,4,1,24,221198,9216
list-dl-none,4,4,1,48,140292,2922
list-dl-none,12,4,1,144,365476,2538
list-dl-none,4,8,1,96,295780,3081
list-dl-none,12,8,1,288,500096,1736
list-dl-none,2,16,1,96,205177,2137
list-dl-none,4,16,1,192,379111,1974
list-dl-none,8,16,1,384,649187,1690
list-dl-none,12,16,1,576,1323443,2297
list-dl-none,4,32,1,384,860698,2241
list-i-m,12,32,1,1152,2400662,2083
list-d-m,12,32,1,1152,2212735,1920
list-il-m,12,32,1,1152,18394342,15967
list-dl-m,12,32,1,1152,17556042,15239
list-i-s,12,32,1,1152,3396380,2948
list-d-s,12,32,1,1152,3662748,3179
list-il-s,12,32,1,1152,46467632,40336
list-dl-s,12,32,1,1152,36384238,31583
list-none-none,1,1000,1,3000,3757660,1252
list-none-m,1,1000,1,3000,3835011,1278
list-none-m,2,1000,1,6000,31902395,5317
list-none-m,4,1000,1,12000,100370722,8364
list-none-m,8,1000,1,24000,484723551,20196
list-none-m,12,1000,1,36000,1130178919,31393
list-none-m,16,1000,1,48000,2134539287,44469
list-none-m,24,1000,1,72000,4505573460,62577
list-none-s,1,1000,1,3000,6077324,2025
list-none-s,2,1000,1,6000,18732374,3122
list-none-s,4,1000,1,12000,187528172,15627
list-none-s,8,1000,1,24000,885808821,36908
list-none-s,12,1000,1,36000,2703822317,75106
list-none-s,16,1000,1,48000,7085669419,147618
list-none-s,24,1000,1,72000,42526807427,590650
list-none-none,1,10,1,30,110146,3671
list-none-none,1,100,1,300,124844,416
list-none-none,1,1000,1,3000,3768048,1256
list-none-none,1,10000,1,30000,691399865,23046
list-none-none,1,20000,1,60000,3673134162,61218
list-none-none,2,10,1,60,115640,1927
list-none-none,2,100,1,600,587098,978
list-none-none,4,10,1,120,143149,1192
list-i-none,2,2,1,12,113658,9471
list-i-none,4,2,1,24,141922,5913
list-i-none,8,2,1,48,235830,4913
list-i-none,2,4,1,24,108236,4509
list-i-none,4,4,1,48,138173,2878
list-i-none,8,4,1,96,237508,2474
list-i-none,2,8,1,48,107376,2237
list-i-none,2,16,1,96,111760,1164
list-i-none,2,32,1,192,210211,1094
list-d-none,2,2,1,12,116583,9715
list-d-none,4,2,1,24,142534,5938
list-d-none,8,2,1,48,273857,5705
list-d-none,12,2,1,72,381469,5298
list-d-none,2,4,1,24,85703,3570
list-d-none,4,4,1,48,150866,3143
list-d-none,8,4,1,96,255723,2663
list-d-none,12,4,1,144,381994,2652
list-d-none,2,8,1,48,115940,2415
list-d-none,4,8,1,96,145844,1519
list-d-none,2,16,1,96,141581,1474
list-d-none,4,16,1,192,177058,922
list-d-none,2,32,1,192,214248,1115
list-il-none,2,2,1,12,102849,8570
list-il-none,4,2,1,24,134853,5618
list-il-none,8,2,1,48,262009,5458
list-il-none,12,4,1,144,367164,2549
list-il-none,4,16,1,192,351674,1831
list-il-none,12,16,1,576,1062797,1845
list-il-none,2,32,1,192,580038,3021
list-il-none,4,32,1,384,1016711,2647
list-il-none,12,32,1,1152,3232303,2805
list-dl-none,2,2,1,12,107068,8922
list-dl-none,4,2,1,24,116861,4869
list-dl-none,8,2,1,48,245903,5122
list-dl-none,12,2,1,72,356393,4949
list-dl-none,8,4,1,96,271591,2829
list-dl-none,12,4,1,144,393953,2735
list-dl-none,2,8,1,48,141598,2949
list-dl-none,4,8,1,96,169603,1766
list-dl-none,2,16,1,96,215088,2240
list-dl-none,4,16,1,192,357681,1862
list-dl-none,12,16,1,576,1024155,1778
list-dl-none,2,32,1,192,565241,2943
list-dl-none,8,32,1,768,1925734,2507
list-i-m,12,32,1,1152,2236218,1941
list-d-m,12,32,1,1152,2204505,1913
list-il-m,12,32,1,1152,18261202,15851
list-dl-m,12,32,1,1152,19830330,17213
list-i-s,12,32,1,1152,6971248,6051
list-d-s,12,32,1,1152,4199331,3645
list-il-s,12,32,1,1152,36938738,32064
list-dl-s,12,32,1,1152,19463218,16895
list-none-none,1,1000,1,3000,3773627,1257
list-none-m,1,1000,1,3000,3777097,1259
list-none-m,2,1000,1,6000,24310549,4051
list-none-m,4,1000,1,12000,91357310,7613
list-none-m,8,1000,1,24000,487986570,20332
list-none-m,12,1000,1,36000,1038929497,28859
list-none-m,16,1000,1,48000,2049040813,42688
list-none-m,24,1000,1,72000,4752350798,66004
list-none-s,1,1000,1,3000,3761055,1253
list-none-s,2,1000,1,6000,39618821,6603
list-none-s,4,1000,1,12000,202629784,16885
list-none-s,8,1000,1,24000,1043618172,43484
list-none-s,12,1000,1,36000,3677613356,102155
list-none-s,16,1000,1,48000,12529709903,261035
list-none-s,24,1000,1,72000,24169748721,335690
list-none-none,1,10,1,30,85812,2860
list-none-none,1,100,1,300,126218,420
list-none-none,1,1000,1,3000,3719767,1239
list-none-none,1,10000,1,30000,669804790,22326
list-none-none,1,20000,1,60000,3661595358,61026
list-none-none,2,10,1,60,105323,1755
list-none-none,2,1000,1,6000,17430842,2905
list-none-none,8,10,1,240,206388,859
list-none-none,12,10,1,360,342263,950
list-i-none,2,2,1,12,78525,6543
list-i-none,4,2,1,24,122201,5091
list-i-none,8,2,1,48,215253,4484
list-i-none,12,2,1,72,319883,4442
list-i-none,2,4,1,24,95348,3972
list-i-none,4,4,1,48,119125,2481
list-i-none,4,8,1,96,136950,1426
list-i-none,2,32,1,192,123859,645
list-d-none,2,2,1,12,71560,5963
list-d-none,8,2,1,48,237712,4952
list-d-none,12,2,1,72,330098,4584
list-d-none,2,4,1,24,72549,3022
list-d-none,4,4,1,48,144495,3010
list-d-none,2,8,1,48,100390,2091
list-d-none,4,8,1,96,123750,1289
list-d-none,12,8,1,288,314087,1090
list-d-none,2,16,1,96,108216,1127
list-d-none,2,32,1,192,131904,687
list-il-none,2,2,1,12,70735,5894
list-il-none,8,2,1,48,242851,5059
list-il-none,12,2,1,72,303406,4213
list-il-none,2,4,1,24,104788,4366
list-il-none,8,4,1,96,253188,2637
list-il-none,12,4,1,144,320252,2223
list-il-none,2,8,1,48,131222,2733
list-il-none,2,16,1,96,224195,2335
list-il-none,2,32,1,192,474912,2473
list-il-none,4,32,1,384,946528,2464
list-dl-none,2,2,1,12,70718,5893
list-dl-none,8,2,1,48,239947,4998
list-dl-none,2,4,1,24,97901,4079
list-dl-none,8,4,1,96,228104,2376
list-dl-none,2,8,1,48,123163,2565
list-dl-none,4,8,1,96,182780,1903
list-dl-none,8,8,1,192,290028,1510
list-dl-none,2,16,1,96,232364,2420
list-dl-none,4,16,1,192,362117,1886
list-dl-none,8,16,1,384,618130,1609
list-dl-none,2,32,1,192,531326,2767
list-i-m,12,32,1,1152,2216557,1924
list-d-m,12,32,1,1152,2151628,1867
list-il-m,12,32,1,1152,21121563,18334
list-dl-m,12,32,1,1152,15985511,13876
list-i-s,12,32,1,1152,3861496,3351
list-d-s,12,32,1,1152,3925334,3407
list-il-s,12,32,1,1152,36134129,31366
list-dl-s,12,32,1,1152,59597724,51734
